ix,iy,iz,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,x_center_mm,y_center_mm,z_center_mm,common_half_angle_deg,common_half_angle_rad,rx_min_rad,rx_max_rad,ry_min_rad,ry_max_rad,limiting_x_mm,limiting_y_mm,limiting_z_mm,search_capped_at_25_deg,valid
0,0,0,-500,-450,-500,-450,400,450,-475,-475,425,2,0.0349065850398866,-0.0349065850398866,0.0349065850398866,-0.0349065850398866,0.0349065850398866,-500,-500,400,0,1
1,0,0,-450,-400,-500,-450,400,450,-425,-475,425,3,0.0523598775598299,-0.0523598775598299,0.0523598775598299,-0.0523598775598299,0.0523598775598299,-450,-500,400,0,1
2,0,0,-400,-350,-500,-450,400,450,-375,-475,425,4,0.0698131700797732,-0.0698131700797732,0.0698131700797732,-0.0698131700797732,0.0698131700797732,-400,-500,400,0,1
3,0,0,-350,-300,-500,-450,400,450,-325,-475,425,4.75,0.0829031394697307,-0.0829031394697307,0.0829031394697307,-0.0829031394697307,0.0829031394697307,-350,-500,400,0,1
4,0,0,-300,-250,-500,-450,400,450,-275,-475,425,5.25,0.0916297857297023,-0.0916297857297023,0.0916297857297023,-0.0916297857297023,0.0916297857297023,-300,-500,400,0,1
5,0,0,-250,-200,-500,-450,400,450,-225,-475,425,6,0.10471975511966,-0.10471975511966,0.10471975511966,-0.10471975511966,0.10471975511966,-250,-500,400,0,1
6,0,0,-200,-150,-500,-450,400,450,-175,-475,425,6.5,0.113446401379631,-0.113446401379631,0.113446401379631,-0.113446401379631,0.113446401379631,-200,-500,400,0,1
7,0,0,-150,-100,-500,-450,400,450,-125,-475,425,7,0.122173047639603,-0.122173047639603,0.122173047639603,-0.122173047639603,0.122173047639603,-150,-500,400,0,1
8,0,0,-100,-50,-500,-450,400,450,-75,-475,425,7.5,0.130899693899575,-0.130899693899575,0.130899693899575,-0.130899693899575,0.130899693899575,-100,-500,400,0,1
9,0,0,-50,0,-500,-450,400,450,-25,-475,425,8,0.139626340159546,-0.139626340159546,0.139626340159546,-0.139626340159546,0.139626340159546,-50,-500,400,0,1
10,0,0,0,50,-500,-450,400,450,25,-475,425,8,0.139626340159546,-0.139626340159546,0.139626340159546,-0.139626340159546,0.139626340159546,50,-500,400,0,1
11,0,0,50,100,-500,-450,400,450,75.0000000000001,-475,425,7.5,0.130899693899575,-0.130899693899575,0.130899693899575,-0.130899693899575,0.130899693899575,100,-500,400,0,1
12,0,0,100,150,-500,-450,400,450,125,-475,425,7,0.122173047639603,-0.122173047639603,0.122173047639603,-0.122173047639603,0.122173047639603,150,-500,400,0,1
13,0,0,150,200,-500,-450,400,450,175,-475,425,6.5,0.113446401379631,-0.113446401379631,0.113446401379631,-0.113446401379631,0.113446401379631,200,-500,400,0,1
14,0,0,200,250,-500,-450,400,450,225,-475,425,6,0.10471975511966,-0.10471975511966,0.10471975511966,-0.10471975511966,0.10471975511966,250,-500,400,0,1
15,0,0,250,300,-500,-450,400,450,275,-475,425,5.25,0.0916297857297023,-0.0916297857297023,0.0916297857297023,-0.0916297857297023,0.0916297857297023,300,-500,400,0,1
16,0,0,300,350,-500,-450,400,450,325,-475,425,4.75,0.0829031394697307,-0.0829031394697307,0.0829031394697307,-0.0829031394697307,0.0829031394697307,350,-500,400,0,1
17,0,0,350,400,-500,-450,400,450,375,-475,425,4,0.0698131700797732,-0.0698131700797732,0.0698131700797732,-0.0698131700797732,0.0698131700797732,400,-500,400,0,1
18,0,0,400,450,-500,-450,400,450,425,-475,425,3,0.0523598775598299,-0.0523598775598299,0.0523598775598299,-0.0523598775598299,0.0523598775598299,450,-500,400,0,1
19,0,0,450,500,-500,-450,400,450,475,-475,425,2.25,0.0392699081698724,-0.0392699081698724,0.0392699081698724,-0.0392699081698724,0.0392699081698724,500,-500,400,0,1
0,1,0,-500,-450,-450,-400,400,450,-475,-425,425,2.25,0.0392699081698724,-0.0392699081698724,0.0392699081698724,-0.0392699081698724,0.0392699081698724,-500,-450,400,0,1
1,1,0,-450,-400,-450,-400,400,450,-425,-425,425,3.25,0.0567232006898157,-0.0567232006898157,0.0567232006898157,-0.0567232006898157,0.0567232006898157,-450,-450,400,0,1
2,1,0,-400,-350,-450,-400,400,450,-375,-425,425,4,0.0698131700797732,-0.0698131700797732,0.0698131700797732,-0.0698131700797732,0.0698131700797732,-400,-450,400,0,1
3,1,0,-350,-300,-450,-400,400,450,-325,-425,425,4.75,0.0829031394697307,-0.0829031394697307,0.0829031394697307,-0.0829031394697307,0.0829031394697307,-350,-450,400,0,1
4,1,0,-300,-250,-450,-400,400,450,-275,-425,425,5.5,0.0959931088596881,-0.0959931088596881,0.0959931088596881,-0.0959931088596881,0.0959931088596881,-300,-450,400,0,1
5,1,0,-250,-200,-450,-400,400,450,-225,-425,425,6.25,0.109083078249646,-0.109083078249646,0.109083078249646,-0.109083078249646,0.109083078249646,-250,-450,400,0,1
6,1,0,-200,-150,-450,-400,400,450,-175,-425,425,6.75,0.117809724509617,-0.117809724509617,0.117809724509617,-0.117809724509617,0.117809724509617,-200,-450,400,0,1
7,1,0,-150,-100,-450,-400,400,450,-125,-425,425,7.25,0.126536370769589,-0.126536370769589,0.126536370769589,-0.126536370769589,0.126536370769589,-150,-450,400,0,1
8,1,0,-100,-50,-450,-400,400,450,-75,-425,425,7.75,0.135263017029561,-0.135263017029561,0.135263017029561,-0.135263017029561,0.135263017029561,-100,-450,400,0,1
9,1,0,-50,0,-450,-400,400,450,-25,-425,425,8.25,0.143989663289532,-0.143989663289532,0.143989663289532,-0.143989663289532,0.143989663289532,-50,-450,400,0,1
10,1,0,0,50,-450,-400,400,450,25,-425,425,8.25,0.143989663289532,-0.143989663289532,0.143989663289532,-0.143989663289532,0.143989663289532,50,-450,400,0,1
11,1,0,50,100,-450,-400,400,450,75.0000000000001,-425,425,8,0.139626340159546,-0.139626340159546,0.139626340159546,-0.139626340159546,0.139626340159546,100,-450,400,0,1
12,1,0,100,150,-450,-400,400,450,125,-425,425,7.25,0.126536370769589,-0.126536370769589,0.126536370769589,-0.126536370769589,0.126536370769589,150,-450,400,0,1
13,1,0,150,200,-450,-400,400,450,175,-425,425,6.75,0.117809724509617,-0.117809724509617,0.117809724509617,-0.117809724509617,0.117809724509617,200,-450,400,0,1
14,1,0,200,250,-450,-400,400,450,225,-425,425,6.25,0.109083078249646,-0.109083078249646,0.109083078249646,-0.109083078249646,0.109083078249646,250,-450,400,0,1
15,1,0,250,300,-450,-400,400,450,275,-425,425,5.5,0.0959931088596881,-0.0959931088596881,0.0959931088596881,-0.0959931088596881,0.0959931088596881,300,-450,400,0,1
16,1,0,300,350,-450,-400,400,450,325,-425,425,5,0.0872664625997165,-0.0872664625997165,0.0872664625997165,-0.0872664625997165,0.0872664625997165,350,-450,400,0,1
17,1,0,350,400,-450,-400,400,450,375,-425,425,4,0.0698131700797732,-0.0698131700797732,0.0698131700797732,-0.0698131700797732,0.0698131700797732,400,-450,400,0,1
18,1,0,400,450,-450,-400,400,450,425,-425,425,3.25,0.0567232006898157,-0.0567232006898157,0.0567232006898157,-0.0567232006898157,0.0567232006898157,450,-450,400,0,1
19,1,0,450,500,-450,-400,400,450,475,-425,425,2.25,0.0392699081698724,-0.0392699081698724,0.0392699081698724,-0.0392699081698724,0.0392699081698724,500,-450,400,0,1
0,2,0,-500,-450,-400,-350,400,450,-475,-375,425,2.25,0.0392699081698724,-0.0392699081698724,0.0392699081698724,-0.0392699081698724,0.0392699081698724,-500,-400,400,0,1
1,2,0,-450,-400,-400,-350,400,450,-425,-375,425,3.25,0.0567232006898157,-0.0567232006898157,0.0567232006898157,-0.0567232006898157,0.0567232006898157,-450,-400,400,0,1
2,2,0,-400,-350,-400,-350,400,450,-375,-375,425,4.25,0.074176493209759,-0.074176493209759,0.074176493209759,-0.074176493209759,0.074176493209759,-400,-400,400,0,1
3,2,0,-350,-300,-400,-350,400,450,-325,-375,425,5,0.0872664625997165,-0.0872664625997165,0.0872664625997165,-0.0872664625997165,0.0872664625997165,-350,-400,400,0,1
4,2,0,-300,-250,-400,-350,400,450,-275,-375,425,5.75,0.100356431989674,-0.100356431989674,0.100356431989674,-0.100356431989674,0.100356431989674,-300,-400,400,0,1
5,2,0,-250,-200,-400,-350,400,450,-225,-375,425,6.25,0.109083078249646,-0.109083078249646,0.109083078249646,-0.109083078249646,0.109083078249646,-250,-400,400,0,1
6,2,0,-200,-150,-400,-350,400,450,-175,-375,425,7,0.122173047639603,-0.122173047639603,0.122173047639603,-0.122173047639603,0.122173047639603,-200,-400,400,0,1
7,2,0,-150,-100,-400,-350,400,450,-125,-375,425,7.5,0.130899693899575,-0.130899693899575,0.130899693899575,-0.130899693899575,0.130899693899575,-150,-400,400,0,1
8,2,0,-100,-50,-400,-350,400,450,-75,-375,425,8,0.139626340159546,-0.139626340159546,0.139626340159546,-0.139626340159546,0.139626340159546,-100,-400,400,0,1
9,2,0,-50,0,-400,-350,400,450,-25,-375,425,8.5,0.148352986419518,-0.148352986419518,0.148352986419518,-0.148352986419518,0.148352986419518,-50,-400,400,0,1
10,2,0,0,50,-400,-350,400,450,25,-375,425,8.5,0.148352986419518,-0.148352986419518,0.148352986419518,-0.148352986419518,0.148352986419518,50,-400,400,0,1
11,2,0,50,100,-400,-350,400,450,75.0000000000001,-375,425,8.25,0.143989663289532,-0.143989663289532,0.143989663289532,-0.143989663289532,0.143989663289532,75.0000000000001,-400,400,0,1
12,2,0,100,150,-400,-350,400,450,125,-375,425,7.75,0.135263017029561,-0.135263017029561,0.135263017029561,-0.135263017029561,0.135263017029561,150,-400,400,0,1
13,2,0,150,200,-400,-350,400,450,175,-375,425,7,0.122173047639603,-0.122173047639603,0.122173047639603,-0.122173047639603,0.122173047639603,200,-400,400,0,1
14,2,0,200,250,-400,-350,400,450,225,-375,425,6.5,0.113446401379631,-0.113446401379631,0.113446401379631,-0.113446401379631,0.113446401379631,250,-400,400,0,1
15,2,0,250,300,-400,-350,400,450,275,-375,425,5.75,0.100356431989674,-0.100356431989674,0.100356431989674,-0.100356431989674,0.100356431989674,300,-400,400,0,1
16,2,0,300,350,-400,-350,400,450,325,-375,425,5,0.0872664625997165,-0.0872664625997165,0.0872664625997165,-0.0872664625997165,0.0872664625997165,350,-400,400,0,1
17,2,0,350,400,-400,-350,400,450,375,-375,425,4.25,0.074176493209759,-0.074176493209759,0.074176493209759,-0.074176493209759,0.074176493209759,400,-400,400,0,1
